BarIndex,Time,MacroState,ActiveDirection,SequencePhase,SequenceAuthority,MaturityLevel,DominanceScore,DegradationScore,BalanceScore,TransitionScore,AmbiguityScore,SFCStatus,ExpectedNextBehavior,InvalidationCondition
564,"2026-05-17 16:05:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.291,0.726,0.009,0.532,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
565,"2026-05-17 16:10:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.268,0.668,0.008,0.490,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
566,"2026-05-17 16:15:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.296,0.764,0.008,0.551,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
567,"2026-05-17 16:20:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.273,0.703,0.007,0.507,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
568,"2026-05-17 16:25:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.251,0.647,0.006,0.466,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
569,"2026-05-17 16:30:00","Directional","Up","TwoR",0.900,"Resolved",1.000,0.231,0.595,0.006,0.429,"None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
570,"2026-05-17 16:35:00","Unresolved","Up","TwoR",0.900,"Resolved",0.840,0.672,0.847,0.135,0.744,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
571,"2026-05-17 16:40:00","Unresolved","Up","TwoR",0.900,"Resolved",0.903,0.619,0.780,0.125,0.685,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
572,"2026-05-17 16:45:00","Balance","Up","TwoR",0.900,"Resolved",0.961,0.569,0.717,0.115,0.630,"Candidate","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
573,"2026-05-17 16:50:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.524,0.660,0.106,0.580,"Candidate","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
574,"2026-05-17 16:55:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.532,0.757,0.097,0.633,"Candidate","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
575,"2026-05-17 17:00:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.489,0.697,0.089,0.583,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
576,"2026-05-17 17:05:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.450,0.641,0.082,0.536,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
577,"2026-05-17 17:10:00","Directional","Up","TwoR",0.900,"Resolved",1.000,0.414,0.590,0.076,0.493,"None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
578,"2026-05-17 17:15:00","Directional","Up","TwoR",0.900,"Resolved",1.000,0.381,0.542,0.070,0.454,"None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
579,"2026-05-17 17:20:00","Unresolved","Up","TwoR",0.900,"Resolved",0.840,0.810,0.799,0.194,0.767,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
580,"2026-05-17 17:25:00","Unresolved","Up","TwoR",0.900,"Resolved",0.873,0.796,0.885,0.178,0.806,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
581,"2026-05-17 17:30:00","Unresolved","Up","TwoR",0.900,"Resolved",0.903,0.782,0.964,0.164,0.842,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
582,"2026-05-17 17:35:00","Unresolved","Up","TwoR",0.900,"Resolved",0.961,0.719,0.887,0.151,0.774,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
583,"2026-05-17 17:40:00","Unresolved","Up","TwoR",0.900,"Resolved",0.984,0.712,0.966,0.139,0.812,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
584,"2026-05-17 17:45:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.655,0.889,0.128,0.747,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
585,"2026-05-17 17:50:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.652,0.968,0.118,0.788,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
586,"2026-05-17 17:55:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.600,0.890,0.108,0.725,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
587,"2026-05-17 18:00:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.552,0.819,0.100,0.667,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
588,"2026-05-17 18:05:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.558,0.904,0.092,0.713,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
589,"2026-05-17 18:10:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.563,0.981,0.084,0.756,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
590,"2026-05-17 18:15:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.518,0.903,0.078,0.696,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
591,"2026-05-17 18:20:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.477,0.831,0.071,0.640,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
592,"2026-05-17 18:25:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.439,0.764,0.066,0.589,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
593,"2026-05-17 18:30:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.454,0.853,0.060,0.642,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
594,"2026-05-17 18:35:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.467,0.935,0.056,0.690,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
595,"2026-05-17 18:40:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.430,0.860,0.051,0.635,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
596,"2026-05-17 18:45:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.396,0.791,0.047,0.584,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
597,"2026-05-17 18:50:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.364,0.728,0.043,0.538,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
598,"2026-05-17 18:55:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.335,0.670,0.040,0.495,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
599,"2026-05-17 19:00:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.358,0.766,0.037,0.555,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
600,"2026-05-17 19:05:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.329,0.705,0.034,0.511,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
601,"2026-05-17 19:10:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.353,0.798,0.031,0.570,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
602,"2026-05-17 19:15:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.325,0.735,0.029,0.524,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
603,"2026-05-17 19:20:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.299,0.676,0.026,0.482,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
604,"2026-05-17 19:25:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.325,0.772,0.024,0.544,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
605,"2026-05-17 19:30:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.299,0.710,0.022,0.500,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
606,"2026-05-17 19:35:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.325,0.803,0.020,0.560,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
607,"2026-05-17 19:40:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.299,0.739,0.019,0.515,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
608,"2026-05-17 19:45:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.325,0.830,0.017,0.574,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
609,"2026-05-17 19:50:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.299,0.763,0.016,0.528,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
610,"2026-05-17 19:55:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.275,0.702,0.015,0.486,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
611,"2026-05-17 20:00:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.303,0.796,0.013,0.547,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
612,"2026-05-17 20:05:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.279,0.732,0.012,0.503,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
613,"2026-05-17 20:10:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.307,0.824,0.011,0.563,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
614,"2026-05-17 20:15:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.282,0.758,0.010,0.518,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
615,"2026-05-17 20:20:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.309,0.847,0.010,0.577,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
616,"2026-05-17 20:25:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.335,0.930,0.009,0.630,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
617,"2026-05-17 20:30:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.308,0.855,0.008,0.580,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
618,"2026-05-17 20:35:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.333,0.937,0.008,0.634,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
619,"2026-05-17 20:40:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.307,0.862,0.007,0.583,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
620,"2026-05-17 20:45:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.282,0.793,0.006,0.536,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
621,"2026-05-17 20:50:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.310,0.879,0.006,0.593,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
622,"2026-05-17 20:55:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.285,0.809,0.005,0.546,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
623,"2026-05-17 21:00:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.312,0.894,0.005,0.602,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
624,"2026-05-17 21:05:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.287,0.823,0.005,0.554,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
625,"2026-05-17 21:10:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.264,0.757,0.004,0.510,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
626,"2026-05-17 21:15:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.243,0.696,0.004,0.469,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
627,"2026-05-17 21:20:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.274,0.791,0.004,0.531,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
628,"2026-05-17 21:25:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.252,0.727,0.003,0.489,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
629,"2026-05-17 21:30:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.232,0.669,0.003,0.450,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
630,"2026-05-17 21:35:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.263,0.766,0.003,0.514,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
631,"2026-05-17 21:40:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.292,0.854,0.003,0.573,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
632,"2026-05-17 21:45:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.269,0.786,0.002,0.527,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
633,"2026-05-17 21:50:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.297,0.873,0.002,0.585,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
634,"2026-05-17 21:55:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.273,0.803,0.002,0.538,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
635,"2026-05-17 22:00:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.251,0.739,0.002,0.495,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
636,"2026-05-17 22:05:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.231,0.680,0.002,0.455,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
637,"2026-05-17 22:10:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.213,0.626,0.002,0.419,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
638,"2026-05-17 22:15:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.246,0.726,0.001,0.485,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
639,"2026-05-17 22:20:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.226,0.667,0.001,0.447,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
640,"2026-05-17 22:25:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.258,0.764,0.001,0.511,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
641,"2026-05-17 22:30:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.237,0.703,0.001,0.470,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
642,"2026-05-17 22:35:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.218,0.647,0.001,0.432,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
643,"2026-05-17 22:40:00","Directional","Up","TwoR",0.900,"Resolved",1.000,0.201,0.595,0.001,0.398,"None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
644,"2026-05-17 22:45:00","Unresolved","Up","TwoR",0.900,"Resolved",0.840,0.645,0.847,0.131,0.716,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
645,"2026-05-17 22:50:00","Unresolved","Up","TwoR",0.900,"Resolved",0.873,0.643,0.930,0.120,0.759,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
646,"2026-05-17 22:55:00","Unresolved","Up","TwoR",0.900,"Resolved",0.903,0.642,1.000,0.111,0.798,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
647,"2026-05-17 23:00:00","Unresolved","Up","TwoR",0.900,"Resolved",0.961,0.590,0.920,0.102,0.734,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
648,"2026-05-17 23:05:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.543,0.846,0.094,0.675,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
649,"2026-05-17 23:10:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.550,0.929,0.086,0.721,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
650,"2026-05-17 23:15:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.556,1.000,0.079,0.764,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
651,"2026-05-17 23:20:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.511,0.920,0.073,0.703,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
652,"2026-05-17 23:25:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.470,0.846,0.067,0.646,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
653,"2026-05-17 23:30:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.433,0.779,0.062,0.595,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
654,"2026-05-17 23:35:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.448,0.866,0.057,0.647,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
655,"2026-05-17 23:40:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.412,0.797,0.052,0.595,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
656,"2026-05-17 23:45:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.379,0.733,0.048,0.548,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
657,"2026-05-17 23:50:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.349,0.675,0.044,0.504,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
658,"2026-05-17 23:55:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.371,0.771,0.041,0.564,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
659,"2026-05-18 00:00:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.341,0.709,0.037,0.518,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
660,"2026-05-18 00:05:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.314,0.652,0.034,0.477,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
661,"2026-05-18 00:10:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.289,0.600,0.032,0.439,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
662,"2026-05-18 00:15:00","Directional","Up","TwoR",0.900,"Resolved",1.000,0.266,0.552,0.029,0.404,"None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
663,"2026-05-18 00:20:00","Balance","Up","TwoR",0.900,"Resolved",0.950,0.445,0.608,0.077,0.521,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
664,"2026-05-18 00:25:00","Directional","Up","TwoR",0.900,"Resolved",1.000,0.409,0.559,0.071,0.480,"None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
665,"2026-05-18 00:30:00","Directional","Up","TwoR",0.900,"Resolved",1.000,0.376,0.515,0.065,0.441,"None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
666,"2026-05-18 00:35:00","Unresolved","Up","TwoR",0.900,"Resolved",0.870,0.756,0.623,0.190,0.656,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
667,"2026-05-18 00:40:00","Degrading","Up","TwoR",0.900,"Resolved",0.930,0.696,0.574,0.175,0.604,"Candidate","Dominance still exists, but efficiency is degrading. Watch for balance or failed continuation.","Invalidated by clean dominance reassertion with efficient continuation."
668,"2026-05-18 00:45:00","Unresolved","Up","TwoR",0.900,"Resolved",0.806,1.000,0.678,0.291,0.805,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
669,"2026-05-18 00:50:00","Unresolved","Up","TwoR",0.900,"Resolved",0.871,0.920,0.623,0.267,0.741,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
670,"2026-05-18 00:55:00","Unresolved","Up","TwoR",0.900,"Resolved",0.902,0.896,0.724,0.246,0.782,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
671,"2026-05-18 01:00:00","Unresolved","Up","TwoR",0.900,"Resolved",0.960,0.825,0.666,0.226,0.719,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
672,"2026-05-18 01:05:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.759,0.612,0.208,0.662,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
673,"2026-05-18 01:10:00","Degrading","Up","TwoR",0.900,"Resolved",1.000,0.698,0.563,0.192,0.609,"Candidate","Dominance still exists, but efficiency is degrading. Watch for balance or failed continuation.","Invalidated by clean dominance reassertion with efficient continuation."
674,"2026-05-18 01:15:00","Unresolved","Up","TwoR",0.900,"Resolved",0.840,1.000,0.818,0.306,0.910,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
675,"2026-05-18 01:20:00","Unresolved","Up","TwoR",0.900,"Resolved",0.903,0.920,0.753,0.282,0.837,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
676,"2026-05-18 01:25:00","Unresolved","Up","TwoR",0.900,"Resolved",0.961,0.846,0.693,0.259,0.770,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
677,"2026-05-18 01:30:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.779,0.637,0.238,0.709,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
678,"2026-05-18 01:35:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.716,0.586,0.219,0.652,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
679,"2026-05-18 01:40:00","Degrading","Up","TwoR",0.900,"Resolved",1.000,0.659,0.539,0.202,0.600,"Candidate","Dominance still exists, but efficiency is degrading. Watch for balance or failed continuation.","Invalidated by clean dominance reassertion with efficient continuation."
680,"2026-05-18 01:45:00","Unresolved","Up","TwoR",0.900,"Resolved",0.870,1.000,0.646,0.316,0.802,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
681,"2026-05-18 01:50:00","Unresolved","Up","TwoR",0.900,"Resolved",0.900,0.970,0.745,0.290,0.838,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
682,"2026-05-18 01:55:00","Unresolved","Up","TwoR",0.900,"Resolved",0.958,0.892,0.685,0.267,0.771,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
